    0              27  (*   linux-3.0     2011-07-22     *)
   94              69  (*   linux-3.1     2011-10-24     *)
  166             100  (*   linux-3.2     2012-01-04     *)
  240             111  (*   linux-3.3     2012-03-18     *)
  303             117  (*   linux-3.4     2012-05-20     *)
  365             105  (*   linux-3.5     2012-07-21     *)
  436             123  (*   linux-3.6     2012-09-30     *)
  507             122  (*   linux-3.7     2012-12-10     *)
  577             131  (*   linux-3.8     2013-02-18     *)
  646             125  (*   linux-3.9     2013-04-28     *)
  709             113  (*   linux-3.10    2013-06-30     *)
  773             137  (*   linux-3.11    2013-09-02     *)
  835             133  (*   linux-3.12    2013-11-03     *)
  912             127  (*   linux-3.13    2014-01-19     *)
  982             135  (*   linux-3.14    2014-03-30     *)
 1052             130  (*   linux-3.15    2014-06-08     *)
 1108             124  (*   linux-3.16    2014-08-03     *)
 1171             119  (*   linux-3.17    2014-10-05     *)
 1234             125  (*   linux-3.18    2014-12-07     *)
 1297             138  (*   linux-3.19    2015-02-08     *)

